mes,carrera,semestre,curso,actividades,año,fecha,periodo_academico,ciclo_lectivo,estudiante_id,profesor_id,monitor_id
Febrero,Economía,6,Sin Información,Uso del Espacio,2024,2024-02-01,1,2024-1,F48FBC570A31,PROF_66BB,MON_66BB
Febrero,Economía,7,Trabajo de Grado,Monitoría,2024,2024-02-01,1,2024-1,A555AC3CD65D,PROF_66BB,MON_266E
Febrero,Economía,1,Sin Información,Uso del Espacio,2024,2024-02-01,1,2024-1,F8FEFF517654,PROF_66BB,MON_66BB
Febrero,Economía,1,Sin Información,Uso del Espacio,2024,2024-02-01,1,2024-1,4C44CC5FE2B9,PROF_66BB,MON_66BB
Febrero,Economía,1,Introducción a la Ciencia Económica,Uso del Espacio,2024,2024-02-01,1,2024-1,7C0A71646D61,PROF_66BB,MON_66BB
Febrero,Economía,8,Sin Información,Uso del Espacio,2024,2024-02-01,1,2024-1,EA376414B8E5,PROF_66BB,MON_66BB
Febrero,Economía,7,Sin Información,Uso del Espacio,2024,2024-02-01,1,2024-1,0C029170CEF1,PROF_66BB,MON_8C0F
Febrero,Economía,7,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,2C953D763CBC,PROF_09A5,MON_8C0F
Febrero,Negocios Internacionales,5,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,7E07827E1AA3,PROF_09A5,MON_8C0F
Febrero,Economía,7,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,C9B6F487B836,PROF_09A5,MON_8C0F
Febrero,Finanzas,5,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,11C747073483,PROF_09A5,MON_8C0F
Febrero,Finanzas,5,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,86FCABC99E8C,PROF_09A5,MON_8C0F
Febrero,Finanzas,6,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,7CACF9344A9E,PROF_09A5,MON_8C0F
Febrero,Finanzas,6,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,991F59A76BE0,PROF_09A5,MON_8C0F
Febrero,Finanzas,7,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,782BB46754A7,PROF_09A5,MON_8C0F
Febrero,Finanzas,7,Econometría Financiera,Uso del Espacio,2024,2024-02-01,1,2024-1,23D87624671A,PROF_09A5,MON_8C0F
Febrero,Maestría En Política Social,2,Macroeconomía de las Políticas Sociales,Capacitación Tableau,2024,2024-02-01,1,2024-1,05FF56D927CA,PROF_CDDF,MON_8C0F
Febrero,Economía,5,Macroeconomía de las Políticas Sociales,Capacitación Tableau,2024,2024-02-01,1,2024-1,BE2820E359B0,PROF_CDDF,MON_8C0F
Febrero,Economía,8,Macroeconomía de las Políticas Sociales,Capacitación Tableau,2024,2024-02-01,1,2024-1,35E7C38E0E53,PROF_CDDF,MON_8C0F
Febrero,Maestría En Política Social,2,Macroeconomía de las Políticas Sociales,Capacitación Tableau,2024,2024-02-01,1,2024-1,AFD2CC886D22,PROF_CDDF,MON_8C0F
